Open,High,Low,Close,Volume,Adj Close
2951.898788178514,3021.672371576511,2874.5571826466403,2956.5875796037144,14921077193.797852,4623.2686
2955.3703136466797,3025.2543435538537,2877.884995164255,2960.062331292429,14942137795.022888,4623.2686
2958.84183911483,3028.8363155311963,2881.21280768187,2963.537082981129,14963198396.247925,4623.2686
2962.313364582995,3032.418287508539,2884.5406201994847,2967.011834669844,14984258997.47296,4623.2686
2965.7848900511453,3036.000259485881,2887.8684327170995,2970.486586358544,15005319598.697935,4623.2686
2969.256415519296,3039.582231463224,2891.1962452347143,2973.9613380472583,15026380199.922974,4623.2686
2972.727940987461,3043.164203440567,2894.524057752329,2977.4360897359584,15047440801.14801,4623.2686
2976.1994664556114,3046.7461754179094,2897.851870269944,2980.910841424673,15068501402.373049,4623.2686
2979.6709919237765,3050.328147395252,2901.1796827875587,2984.385593113373,15089562003.598083,4623.2686
2983.142517391927,3053.910119372594,2904.507495305173,2987.860344802073,15110622604.82312,4623.2686
2986.614042860092,3057.4920913499373,2907.8353078227883,2991.335096490788,15131683206.048157,4623.2686
2990.0855683282425,3061.07406332728,2911.163120340403,2994.809848179488,15152743807.273132,4623.2686
2993.557093796408,3064.6560353046225,2914.490932858018,2998.2845998682023,15173804408.498169,4623.2686
2997.028619264558,3068.238007281965,2917.8187453756327,3001.7593515569024,15194865009.723206,4623.2686
3000.5001447327086,3071.819979259308,2921.1465578932475,3005.234103245617,15215925610.948242,4623.2686
3003.9716702008736,3075.4019512366503,2924.4743704108623,3008.708854934317,15236986212.17328,4623.2686
3007.443195669024,3078.983923213993,2927.802182928477,3012.183606623032,15258046813.398315,4623.2686
3010.914721137189,3082.565895191336,2931.129995446092,3015.658358311732,15279107414.623352,4623.2686
3014.38624660534,3086.147867168678,2934.4578079637067,3019.1331100004463,15300168015.848328,4623.2686
3017.8577720735047,3089.729839146021,2937.785620481321,3022.6078616891464,15321228617.073364,4623.2686
3021.3292975416557,3093.3118111233634,2941.1134329989363,3026.082613377861,15342289218.2984,4623.2686
3024.8008230098203,3096.893783100706,2944.441245516551,3029.557365066561,15363349819.523438,4623.2686
3028.272348477971,3100.4757550780487,2947.769058034166,3033.032116755276,15384410420.748474,4623.2686
3031.7438739461213,3104.0577270553918,2951.0968705517807,3036.506868443976,15405471021.97351,4623.2686
3035.2153994142864,3107.639699032734,2954.4246830693955,3039.9816201326903,15426531623.198547,4623.2686
3038.686924882437,3111.2216710100765,2957.7524955870103,3043.4563718213903,15447592224.423525,4623.2686
3042.158450350602,3114.8036429874046,2961.080308104625,3046.931123510105,15468652825.64856,4623.2686
3045.6299758187524,3118.385614964747,2964.40812062224,3050.405875198805,15489713426.873596,4623.2686
3049.101501286917,3121.96758694209,2967.7359331398548,3053.88062688752,15510774028.098633,4623.2686
3052.573026755068,3125.5495589194325,2971.0637456574696,3057.35537857622,15531834629.32367,4623.2686
