Open,High,Low,Close,Volume,Adj Close
181.89593821718472,183.2917932802843,180.5416576473772,181.96324794818247,4542597.571560932,150.21136
182.02734531805663,183.4244024769423,180.6719127676156,182.0947227720021,4542403.24069147,150.21136
182.15875241892851,183.55701167359985,180.80216788785447,182.2261975958213,4542208.909822008,150.21136
182.29015951980043,183.68962087025784,180.9324230080933,182.35767241964092,4542014.578952545,150.21136
182.4215666206724,183.82223006691584,181.06267812833173,182.4891472434606,4541820.248083083,150.21136
182.55297372154428,183.95483926357335,181.19293324857065,182.62062206727975,4541625.917213621,150.21136
182.6843808224162,184.08744846023137,181.32318836880904,182.75209689109943,4541431.586344158,150.21136
182.8157879232881,184.22005765688937,181.4534434890479,182.88357171491907,4541237.255474696,150.21136
182.94719502416,184.3526668535469,181.5836986092868,183.01504653873823,4541042.924605233,150.21136
183.07860212503192,184.4852760502049,181.7139537295252,183.1465213625579,4540848.59373577,150.21136
183.21000922590383,184.6178852468629,181.84420884976407,183.27799618637755,4540654.262866308,150.21136
183.34141632677571,184.75049444352044,181.97446397000292,183.4094710101972,4540459.931996846,150.21136
183.47282342764765,184.88310364017843,182.10471909024136,183.5409458340164,4540265.601127383,150.21136
183.6042305285196,185.01571283683643,182.23497421048023,183.67242065783603,4540071.27025792,150.21136
183.73563762939148,185.148322033494,182.3652293307191,183.80389548165567,4539876.939388458,150.21136
183.8670447302634,185.280931230152,182.49548445095752,183.9353703054749,4539682.608518995,150.21136
183.9984518311353,185.41354042681,182.6257395711964,184.0668451292945,4539488.277649533,150.21136
184.1298589320072,185.5461496234675,182.7559946914348,184.19831995311412,4539293.946780071,150.21136
184.26126603287912,185.6787588201255,182.88624981167368,184.3297947769333,4539099.615910608,150.21136
184.39267313375103,185.8113680167835,183.01650493191252,184.46126960075296,4538905.285041146,150.21136
184.52408023462291,185.94397721344103,183.14676005215097,184.59274442457263,4538710.954171684,150.21136
184.65548733549485,186.07658641009905,183.27701517238984,184.72421924839185,4538516.623302221,150.21136
184.7868944363668,186.20919560675705,183.4072702926287,184.85569407221143,4538322.292432759,150.21136
184.91830153723868,186.34180480341456,183.53752541286715,184.9871688960311,4538127.961563297,150.21136
185.0497086381106,186.47441400007256,183.667780533106,185.11864371985075,4537933.630693834,150.21136
185.1811157389825,186.60702319673052,183.79803565334487,185.25011854366997,4537739.299824372,150.21136
185.3125228398544,186.7396323933881,183.92829077358329,185.3815933674896,4537544.96895491,150.21136
185.44392994072632,186.8722415900461,184.05854589382216,185.51306819130923,4537350.638085447,150.21136
185.57533704159823,187.00485078670408,184.18880101406057,185.6445430151284,4537156.307215984,150.21136
185.7067441424706,187.1374599833616,184.31905613429944,185.7760178389481,4536961.976346522,150.21136
